Company Name,Skills Set,Information Link,Description,Posted Time
ADROITLEARNINGANDMANPOWERPVTLTD,"restapi,sql,database,security,devops,rest,python,tornado,javascript,django,infrastructure",https://www.timesjobs.com/job-detail/python-developer-adroit-learning-and-manpower-pvt-ltd-ahmedabad-0-to-5-yrs-jobid-kxIWTPN__SLASH__rt5zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Experienceinapplicationdevelopment,particularly,inPython/React/AWSstack.Someonewhocanworkonapplicationdevelopment(APIs/RESTservices/businesslogic)andETLAgoodmixofpythontechnologies:Python,AsyncIO,Django,Flask,Aiohttp,Tornado,etc.Experiencewithapplication/service/RESTAPIdevelopmentAdditionalexperienceisgood:frontend,devops,database/SQL,etc.Ifpeoplewanttodobackendonly,itstotallyfinethoughOthermodernlanguageslikeGoland,Rust,etc.Jobrole:Whatyouwilldo:YouwillbeoneofthefoundingengineersofanewcompanyproductYouwillwearaproducthattoideateanditerateonfeatures,designreliableandscalableRESTfulwebservices,writecleancodeinPython,automateend-to-endtestcases,andensurethatyourservicesworkwellonourAWSinfrastructure.Youwillfollowdevelopmentbestpracticesincludingarchitecturereview,(virtual)whiteboarding,codereview,testcoverage,etc.Youwilltakeinitiativestoimproveresilienceandsecurityofyourcomponentsanddriveprojectsendtoend.Whoyouare:Youhaveexperiencebuildingproductiongradesystemsinateamenvironment.Youhaveaproductmindsetandyouenjoycreatingvalueanddelightingyourusers.Youobsessaboutsimplearchitecturesanddesigningreliableandscalablesystems.Youwriteclean,readablecodeinPython.IfyoualsohaveJavascript/Reactexperience,great!butthisisnottheexpectation.YouhaveadeepunderstandingofhowthewebworksandlovedesigningbeautifulAPIsthatmakelifeeasyforyourconsumers.YouhaveacommandofSQLandlovemodelingdataYouknowenoughof/wanttoknowaboutAWSinfrastructuretobeabletomonitorandensureyourservicesarehealthyandhappyonproduction.Lastbutnotleast,youareself-driven,wellorganized,curious,tenacious,andcommunicateeffectively.Youaskalotofquestions,digdeep,andcomeupwithcreativereliablesolutionsandexecuterepeatablywithagreatsenseofownershipandaccountability.Helpbuildtechnologythatsaveslives!WehelppeopleRetainandimprovetheirmentalhealth.Takecareoftheirfamilies,pets,legalandfinancialissues,etc.UniqueopportunityWearepushingtobecomeatechnology-firstcompanyfocusedondigitalhealth,dataengineering,clinicaldatascience,andAItodefinethestateoftheartinmental/behavioralhealth.Yougettoshapethisvisionandbuildthingsfromscratch(notedioussupport/legacyprojects)",Posted 5 days ago
routemobileltd.,"python,django,postgresql,mysql,docker",https://www.timesjobs.com/job-detail/python-developer-route-mobile-ltd-mumbai-0-to-2-yrs-jobid-cVJ2ggJ7OStzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JobRolePythonDeveloperExperience:6Monthsto2yearsJobDescription:GoodExperienceandknowledgeinPythonGoodExperienceinFlask/Django(experiencewithdevelopingRestfulAPIs),GoodKnowledgeonPostgreSQL/MySQL,ORM)AddedAdvantage(RabbitMQCelery,Redis,Marshmallow,Docker)",Posted few days ago
PRATHIGNABUILDTECHPRIVATELIMITED,"fundamentals,python,django,oops,html",https://www.timesjobs.com/job-detail/python-developer-prathigna-buildtech-private-limited-bengaluru-bangalore-3-to-6-yrs-jobid-YeRBxot__SLASH__YGpzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Pythondeveloper3Years-8MonthsJobDescriptionRole:PythondeveloperExperience:3to8yrsSkills:Pythondeveloper,Django,HTML,DjangoFrameworkJobDescription:StrongprogrammingskillrequirePython,Djangoframework.Customwebapplicationdevelopmentexperience.Strongknowledgeindatastructure,OOPSandcomputerfundamentals.Anabilitytorefactorandunderstandlargeandseparatecodebases.Experienceinbuildinghighlyscalable,reliablesystems.SkillsPythondeveloper,Django,HTML,DjangoFrameworkEducationB.Tech,Engineering",Posted few days ago
RuboidTechnologies,"technicalskills,python,softwaredeveloper",https://www.timesjobs.com/job-detail/rpa-python-ruboid-technologies-bengaluru-bangalore-3-to-5-yrs-jobid-QlkbgZQiWbxzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		MandatorySkills:ExperienceincompleteendtoendlifecycleofRPAprocessi.e.,fromRequirementGatheringtoBOTDeploymentandoperationsupport.AbilitytogatherrequirementsindependentlywithBusinessSME,assessautomationopportunity,doatechnicalfeasibilityandprovidesolutionsfromanRPA/otherapplicablePythontechnicalskills,experienceofworkingwithexcelpackagesinpython-Pandas,Xlrd,numpyetcTechnologyExtensiveexceptionimplementationexperiencefortheBOTsfromaTechnicalandOperationsperspectiveComplywithdesignandcodingstandards,policiesandproceduresExcellenteffectivecommunicationskills(cancommunicatewithteam,managementandclient)Roles&Responsibility:Developandconfigureautomationprocessesasperthetechnicaldesigndocument/definedrequirements.IdentifyinternalandexternalprocessdependenciesDevelopautomatedprocessusingMetaBOTs,OCRandreusablecomponentsCreateunitTestCasesSupportSMEsduringUAT",Posted few days ago
ExcelPtp,"jquery,sql,git,oops,json,mysql,objectorientedprogramming,mongodb,middleware,rest,python,svn,machinelearning,django",https://www.timesjobs.com/job-detail/python-trainer-excel-ptp-ahmedabad-1-to-4-yrs-jobid-KPkly4YxprFzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		1yearsofworkexperienceastraineronpythontotrainedfresher.CandidateshouldhaveknowledgeofOOPS,Json,Jquery,JS,andworkingexperienceonpythonbasedwebapplication.HavingknowledgeofcodingskillsinanObjectOrientedprogramminglanguage(DjangowithRustPythonweb-frameworkpreferred)GoodexperienceworkingwithdatabaseslikePostgres,SQL,MongoDB,MysqlGoodunderstandingPythonLibraries,MiddlewareWebServicesImplementationORM(ObjectRelationalMapper)andRESTbasedWebservicesimplementationusingPythonExperienceinenterpriseapplication,applicationlogic,libraryarchitecture,AWS/Cloud,applicationperformance,SAAS,AWS/cloud.ProficientunderstandingofcodeversioningtoolssuchasGit,MercurialorSVNandhavingknowledgeonIoT,AIandmachinelearning(ML)basedapplicationusingpython.",Posted 3 days ago
SaracaSolutionsPvtltd,"python,html5,javascript,security,django,debugging",https://www.timesjobs.com/job-detail/python-developer-saraca-solutions-pvt-ltd-0-to-3-yrs-jobid-60cl2kbYqWJzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		WearelookingforaPythonDevelopertojoinourengineeringteamandhelpusdevelopandmaintainvarioussoftwareproducts.PythonDeveloperresponsibilitiesincludewritingandtestingcode,debuggingprograms,andintegratingapplicationswiththird-partywebservices.Tobesuccessfulinthisrole,youshouldhaveexperienceusingserver-sidelogic.Responsibilities:Writeeffective,scalablecodeDevelopback-endcomponentstoimproveresponsivenessandoverallperformanceIntegrateuser-facingelementsintoapplicationsTestanddebugprogramsImprovefunctionalityofexistingsystemsImplementsecurityanddataprotectionsolutionsAssessandprioritizefeaturerequestsCoordinatewithinternalteamstounderstanduserrequirementsandprovidetechnicalsolutions.Requirements:WorkexperienceasaPythonDeveloperExpertiseinatleastonepopularPythonframework(likeDjango,FlaskorPyramid)Knowledgeofobject-relationalmapping(ORM)Familiaritywithfront-endtechnologies(likeJavaScriptandHTML5).TeamspiritGoodproblem-solvingskills",Posted few days ago
FresherMart,"python,dataextraction,django,git,restapi",https://www.timesjobs.com/job-detail/python-developer-freshermart-navi-mumbai-mumbai-2-to-4-yrs-jobid-VzDfhxUKxQtzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		candidateswithnoticeperiodlessthan1monthDevelopWebApplicationinPythonwithDJANGOFrameworkBuildefficientback-endfeaturesinPythonIntegratefront-endcomponentsintoapplicationsHandleRestAPIFrameworksPreparetechnicaldocumentation,designandarchitectureforwebdevelopmentsCollaboratewithUX/UIdesignerstoimplementdesignintothecodeHandleGitandclouddeploymentsWebScrapingandDataExtractionfromDifferentWebsitesJobLocation:MumbaiExperience(Years):2-4YearsSubLocation:NaviMumbai",Posted few days ago
FresherMart,"python,dataextraction,django,git,restapi",https://www.timesjobs.com/job-detail/python-developer-freshermart-bengaluru-bangalore-2-to-4-yrs-jobid-vYGkh6Ix__SLASH__V9zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		DutiesandResponsibilityDevelopWebApplicationinPythonwithDJANGOFrameworkBuildefficientback-endfeaturesinPythonIntegratefront-endcomponentsintoapplicationsHandleRestAPIFrameworksPreparetechnicaldocumentation,designandarchitectureforwebdevelopmentsCollaboratewithUX/UIdesignerstoimplementdesignintothecodeHandleGitandclouddeploymentsWebScrapingandDataExtractionfromDifferentWebsitesJobLocation:BangaloreExperience(Years):2-4Years",Posted few days ago
UkbitSolutions,"python,html5,javascript,security,django,debugging",https://www.timesjobs.com/job-detail/python-developers-ukbit-solutions-hyderabad-secunderabad-3-to-5-yrs-jobid-MB27e0y0D__PLUS__pzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Jobbrief:PythonDeveloperresponsibilitiesincludewritingandtestingcode,debuggingprogramsandintegratingapplicationswiththird-partywebservices.Tobesuccessfulinthisrole,youshouldhaveexperienceusingserver-sidelogicandworkwellinateam.Ultimately,youllbuildhighlyresponsivewebapplicationsthatalignwithourbusinessneeds.ResponsibilitiesWriteeffective,scalablecodeDevelopback-endcomponentstoimproveresponsivenessandoverallperformanceIntegrateuser-facingelementsintoapplicationsTestanddebugprogramsImprovefunctionalityofexistingsystemsImplementsecurityanddataprotectionsolutionsAssessandprioritizefeaturerequestsCoordinatewithinternalteamstounderstanduserrequirementsandprovidetechnicalsolutionsRequirementsWorkexperienceasaPythonDeveloperExpertiseinpysparkExpertiseinatleastonepopularPythonframework(likeDjango,FlaskorPyramid)Knowledgeofobject-relationalmapping(ORM)Familiaritywithfront-endtechnologies(likeJavaScriptandHTML5)TeamspiritGoodproblem-solvingskills",Posted few days ago
AnalyticsVidhya,"python,css,html5,html,ajax,javascript",https://www.timesjobs.com/job-detail/python-developer-analytics-vidhya-gurgaon-5-to-8-yrs-jobid-XJy6NVLtkpNzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		PythonDeveloper-Gurgaon-(3YearsofExperience)PythonDeveloper-Gurgaon-(3YearsofExperience)AClientofAnalyticsVidhyaGurugramINR3-10LPAExperience:3YRS.Openings:1Details:PrimarySkills:*FluencyinPython:Atleast2.5yearofhands-onexperiencewithprogramminglanguagesPython.*Proficientinwebbasedtechnologies,i.e.HTML,JavaScript,CSS,AJAX,HTTP.*Innovativeness;abilitytothinkoutsidethebox.*Creativityandproblemssolvingability.*Verygoodcommunicationskills;mustbeabletogatherrequirementsfrompotentialusersanddiscusstherequirementseffectivelywithatechnicalteamofdevelopers.Description:*Selectedcandidatewillbeonpermanentrollofcompany*He/Shewillbedeputedatclientsidei.e.AtopnotchGlobalISP,Gurgaonforlongduration.*ShiftTime:08:00am-05:00pm(5daysinweek)(Cab&mealsfacilityfreeofcost).EducationalQualification:MinQualification:BS/BE/B.Tech/MCAorequivalent.Experience:3yrs.Location:GurgaonMin.Qualification:ugSkillsRequired:CSS3,HTML5,JavaScript,python",Posted few days ago
BloomConsultingServices,"python,sql,django,api,mongodb,hbase",https://www.timesjobs.com/job-detail/python-developer-bloom-consulting-services-pune-0-to-3-yrs-jobid-86gyICnb5eVzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		JD746-PythonDeveloperKeySkills:SQL,TestDrivenDevelopment,Agile,MongoDB,Python,PythonDeveloper,Django,HBaseExp:2-6Sal:Loc:PuneCityClientofBloomConsultingServicesAbouttheJobDesign,build,andmaintainefficient,reusable,andreliablePythoncodeWritingcodebusinesslogic,requesthandling,multi-platformpresentation,APIintegrationsanythingnecessarytoturnourproductdreamsintorealitiesHelpmaintaincodequality,organizationandautomateIntegrationofuser-facingelementsdevelopedbyfront-enddeveloperswithserversidelogicContributeinallphasesofthedevelopmentlifecycleIdentifybottlenecksandbugs,anddevisesolutionstotheseproblemsFollowbestpractices(test-drivendevelopment,continuousintegration,SCRUM,refactoringandcodestandards)WhatYouNeedforthisPositionYoushouldhaveknowledgeof:SQLTestDrivenDevelopmentAgileMongoDBPythonPythonDeveloperDjangoHBaseAditionalNo.ofPositionsEducationlevelCareerlevelExperienced",Posted few days ago
LinkitesInfotechPvtLtd,"python,django,html5,mobile,javascript",https://www.timesjobs.com/job-detail/python-developer-linkites-infotech-pvt-ltd-indore-0-to-3-yrs-jobid-eNV1Munm2gZzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		SKILLSPython/Djangodevelopmentexperience.ProficientwithHTML5,CSS3,andJavaScript.ClearunderstandingofHTTPandRESTfulAPIs.ExperiencewithJavaScriptframeworks/librarieslikeReactorAngular.jsHands-onexperiencedeveloping,releasing,andmaintaininglarge-scalesoftwareapplications(web/mobile)Mustbeaself-starterandenjoyworkinginateamwithotherpassionateprofessionals",Posted few days ago
KGInformationSystemsPvtLtd,"python,cache,teamplayer,nosql,database,django,mysql,mongodb",https://www.timesjobs.com/job-detail/python-developer-kg-information-systems-pvt-ltd-coimbatore-2-to-3-yrs-jobid-iv7MHtuYIZ1zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Responsibilities:2yearsofrelevantexperienceExpertinPython,withknowledgeofatleastonePythonwebframework{{suchasDjango,Flask,etc.dependingonyourtechnologystack}}HandsonexperienceindesigninganddevelopingscalableprojectsinPythonframeworksUnderstandingofthethreadinglimitationsofPython,andmulti-processarchitectureGoodunderstandingofserver-sidetemplatinglanguages{{suchasJinja2,Make,etc.dependingonyourtechnologystack}}HandsonexperienceinPythonDesktopApplicationHandsonexperienceindesigninganddevelopingRESTfulAPIs.ExperienceworkingwithMySQLandNoSQLdatabasestoressuchasMongoDBandCachesuchasRedisorsimilarisdesiredAbletointegratemultipledatasourcesanddatabasesintoonesystemMustbeaproventeamplayerMusthaveexcellentwrittenandoralcommunicationskillsExperiencewithAgile(Scrum)isdesired.",Posted few days ago
Spiceblue,"python,storage,elasticsearch,testingtools,debugging,api,mongodb",https://www.timesjobs.com/job-detail/python-developer-spiceblue-chennai-2-to-7-yrs-jobid-2lvqlB65MK1zpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		Whatwe'relookingfor:WearelookingforanexperiencedPythondevelopertojoinourengineeringteamandhelpuscreatedynamicsoftwareapplicationsforourclients.Inthisrole,youwillberesponsibleforwritingandtestingscalablecode,developingback-endcomponents,andintegratinguser-facingelementsincollaborationwithfront-enddevelopers.Responsibilities:Coordinatingwithdevelopmentteamstodetermineapplicationrequirements.WritingscalablecodeusingPythonprogramminglanguage.Testinganddebuggingapplications.Developingback-endcomponents.Integratinguser-facingelementsusingserver-sidelogic.Assessingandprioritizingclientfeaturerequests.Integratingdatastoragesolutions.Coordinatingwithfront-enddevelopers.Reprogrammingexistingdatabasestoimprovefunctionality.Developingdigitaltoolstomonitoronlinetraffic.RequirementsBachelor'sdegreeinComputerScience,ComputerEngineering,orrelatedfield.2-7yearsofexperienceasaPythonDeveloper.ExpertknowledgeofPythonandFlaskframeworkandFastAPI.SolidexperienceinMongoDB,ElasticSearch.WorkexperienceinRestfulAPIAdeepunderstandingandmulti-processarchitectureandthethreadinglimitationsofPython.Abilitytointegratemultipledatasourcesintoasinglesystem.Familiaritywithtestingtools.Abilitytocollaborateonprojectsandworkindependentlywhenrequired.Excellenttroubleshootingskills.Goodprojectmanagementskills.",Posted few days ago
TalentCornerHrServicesPrivateLimited,"python,django,systemprogramming,webtechnologies,softwaredeveloper",https://www.timesjobs.com/job-detail/python-engineer-talent-corner-hr-services-private-limited-udaipur-4-to-8-yrs-jobid-6Dca98iiVLlzpSvf__PLUS__uAgZw==&source=srp,"JobDescription
		RolesandResponsibilitiesExpertinPython,withknowledgeofatleastonePythonwebframework{suchasDjango,Flask,etcdependingonyourtechnologystack}FamiliaritywithsomeORM(ObjectRelationalMapper)libraries(RemoteWork)KeySkillsDjangoWebTechnologiesPythonFlask",Posted few days ago
